X,Y,R,G,B,,,
2047,2047,255,0,0,,,
1998,2047,255,0,0,,,
1949,2047,255,0,0,,,
1900,2047,255,0,0,,,
1851,2047,255,0,0,,,
1802,2047,255,0,0,,,
1753,2047,255,0,0,,,
1704,2047,255,0,0,,,
1655,2047,255,0,0,,,
1606,2047,255,0,0,,,
1557,2047,255,0,0,,,
1508,2047,255,0,0,,,
1459,2047,255,0,0,,,
1410,2047,255,0,0,,,
1361,2047,255,0,0,,,
1312,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1263,2047,255,0,0,,,
1265,2003,255,0,0,,,
1268,1959,255,0,0,,,
1273,1915,255,0,0,,,
1281,1872,255,0,0,,,
1290,1829,255,0,0,,,
1302,1787,255,0,0,,,
1316,1745,255,0,0,,,
1332,1705,255,0,0,,,
1350,1665,255,0,0,,,
1369,1626,255,0,0,,,
1391,1588,255,0,0,,,
1414,1552,255,0,0,,,
1440,1517,255,0,0,,,
1466,1484,255,0,0,,,
1495,1452,255,0,0,,,
1525,1421,255,0,0,,,
1556,1393,255,0,0,,,
1589,1366,255,0,0,,,
1623,1341,255,0,0,,,
1659,1318,255,0,0,,,
1695,1297,255,0,0,,,
1732,1278,255,0,0,,,
1771,1261,255,0,0,,,
1810,1246,255,0,0,,,
1849,1234,255,0,0,,,
1890,1223,255,0,0,,,
1930,1215,255,0,0,,,
1971,1210,255,0,0,,,
2013,1206,255,0,0,,,
2054,1205,255,0,0,,,
2095,1206,255,0,0,,,
2137,1210,255,0,0,,,
2178,1215,255,0,0,,,
2218,1223,255,0,0,,,
2258,1234,255,0,0,,,
2298,1246,255,0,0,,,
2337,1261,255,0,0,,,
2375,1278,255,0,0,,,
2413,1297,255,0,0,,,
2449,1318,255,0,0,,,
2484,1341,255,0,0,,,
2518,1366,255,0,0,,,
2551,1393,255,0,0,,,
2583,1421,255,0,0,,,
2613,1452,255,0,0,,,
2641,1484,255,0,0,,,
2668,1517,255,0,0,,,
2693,1552,255,0,0,,,
2717,1588,255,0,0,,,
2738,1626,255,0,0,,,
2758,1665,255,0,0,,,
2776,1705,255,0,0,,,
2792,1745,255,0,0,,,
2806,1787,255,0,0,,,
2817,1829,255,0,0,,,
2827,1872,255,0,0,,,
2835,1915,255,0,0,,,
2840,1959,255,0,0,,,
2843,2003,255,0,0,,,
2844,2047,255,0,0,,,
2843,2091,255,0,0,,,
2840,2135,255,0,0,,,
2835,2179,255,0,0,,,
2827,2222,255,0,0,,,
2817,2265,255,0,0,,,
2806,2307,255,0,0,,,
2792,2349,255,0,0,,,
2776,2390,255,0,0,,,
2758,2429,255,0,0,,,
2738,2468,255,0,0,,,
2717,2506,255,0,0,,,
2693,2542,255,0,0,,,
2668,2577,255,0,0,,,
2641,2610,255,0,0,,,
2613,2642,255,0,0,,,
2583,2673,255,0,0,,,
2551,2701,255,0,0,,,
2518,2728,255,0,0,,,
2484,2753,255,0,0,,,
2449,2776,255,0,0,,,
2413,2797,255,0,0,,,
2375,2816,255,0,0,,,
2337,2833,255,0,0,,,
2298,2848,255,0,0,,,
2258,2860,255,0,0,,,
2218,2871,255,0,0,,,
2178,2879,255,0,0,,,
2137,2884,255,0,0,,,
2095,2888,255,0,0,,,
2054,2889,255,0,0,,,
2013,2888,255,0,0,,,
1971,2884,255,0,0,,,
1930,2879,255,0,0,,,
1890,2871,255,0,0,,,
1849,2860,255,0,0,,,
1810,2848,255,0,0,,,
1771,2833,255,0,0,,,
1732,2816,255,0,0,,,
1695,2797,255,0,0,,,
1659,2776,255,0,0,,,
1623,2753,255,0,0,,,
1589,2728,255,0,0,,,
1556,2701,255,0,0,,,
1525,2673,255,0,0,,,
1495,2642,255,0,0,,,
1466,2610,255,0,0,,,
1440,2577,255,0,0,,,
1414,2542,255,0,0,,,
1391,2506,255,0,0,,,
1369,2468,255,0,0,,,
1350,2429,255,0,0,,,
1332,2390,255,0,0,,,
1316,2349,255,0,0,,,
1302,2307,255,0,0,,,
1290,2265,255,0,0,,,
1281,2222,255,0,0,,,
1273,2179,255,0,0,,,
1268,2135,255,0,0,,,
1265,2091,255,0,0,,,
1263,2047,255,0,0,,,
1265,2003,255,0,0,,,
1268,1959,255,0,0,,,
1273,1915,255,0,0,,,
1281,1872,255,0,0,,,
1290,1829,255,0,0,,,
1302,1787,255,0,0,,,
1316,1745,255,0,0,,,
1332,1705,255,0,0,,,
1350,1665,255,0,0,,,
1369,1626,255,0,0,,,
1391,1588,255,0,0,,,
1414,1552,255,0,0,,,
1440,1517,255,0,0,,,
1466,1484,255,0,0,,,
1495,1452,255,0,0,,,
1525,1421,255,0,0,,,
1556,1393,255,0,0,,,
1589,1366,255,0,0,,,
1623,1341,255,0,0,,,
1659,1318,255,0,0,,,
1695,1297,255,0,0,,,
1732,1278,255,0,0,,,
1771,1261,255,0,0,,,
1810,1246,255,0,0,,,
1849,1234,255,0,0,,,
1890,1223,255,0,0,,,
1930,1215,255,0,0,,,
1971,1210,255,0,0,,,
2013,1206,255,0,0,,,
2054,1205,255,0,0,,,
2095,1206,255,0,0,,,
2137,1210,255,0,0,,,
2178,1215,255,0,0,,,
2218,1223,255,0,0,,,
2258,1234,255,0,0,,,
2298,1246,255,0,0,,,
2337,1261,255,0,0,,,
2375,1278,255,0,0,,,
2413,1297,255,0,0,,,
2449,1318,255,0,0,,,
2484,1341,255,0,0,,,
2518,1366,255,0,0,,,
2551,1393,255,0,0,,,
2583,1421,255,0,0,,,
2613,1452,255,0,0,,,
2641,1484,255,0,0,,,
2668,1517,255,0,0,,,
2693,1552,255,0,0,,,
2717,1588,255,0,0,,,
2738,1626,255,0,0,,,
2758,1665,255,0,0,,,
2776,1705,255,0,0,,,
2792,1745,255,0,0,,,
2806,1787,255,0,0,,,
2817,1829,255,0,0,,,
2827,1872,255,0,0,,,
2835,1915,255,0,0,,,
2840,1959,255,0,0,,,
2843,2003,255,0,0,,,
2844,2047,255,0,0,,,
2843,2091,255,0,0,,,
2840,2135,255,0,0,,,
2835,2179,255,0,0,,,
2827,2222,255,0,0,,,
2817,2265,255,0,0,,,
2806,2307,255,0,0,,,
2792,2349,255,0,0,,,
2776,2390,255,0,0,,,
2758,2429,255,0,0,,,
2738,2468,255,0,0,,,
2717,2506,255,0,0,,,
2693,2542,255,0,0,,,
2668,2577,255,0,0,,,
2641,2610,255,0,0,,,
2613,2642,255,0,0,,,
2583,2673,255,0,0,,,
2551,2701,255,0,0,,,
2518,2728,255,0,0,,,
2484,2753,255,0,0,,,
2449,2776,255,0,0,,,
2413,2797,255,0,0,,,
2375,2816,255,0,0,,,
2337,2833,255,0,0,,,
2298,2848,255,0,0,,,
2258,2860,255,0,0,,,
2218,2871,255,0,0,,,
2178,2879,255,0,0,,,
2137,2884,255,0,0,,,
2095,2888,255,0,0,,,
2054,2889,255,0,0,,,
2013,2888,255,0,0,,,
1971,2884,255,0,0,,,
1930,2879,255,0,0,,,
1890,2871,255,0,0,,,
1849,2860,255,0,0,,,
1810,2848,255,0,0,,,
1771,2833,255,0,0,,,
1732,2816,255,0,0,,,
1695,2797,255,0,0,,,
1659,2776,255,0,0,,,
1623,2753,255,0,0,,,
1589,2728,255,0,0,,,
1556,2701,255,0,0,,,
1525,2673,255,0,0,,,
1495,2642,255,0,0,,,
1466,2610,255,0,0,,,
1440,2577,255,0,0,,,
1414,2542,255,0,0,,,
1391,2506,255,0,0,,,
1369,2468,255,0,0,,,
1350,2429,255,0,0,,,
1332,2390,255,0,0,,,
1316,2349,255,0,0,,,
1302,2307,255,0,0,,,
1290,2265,255,0,0,,,
1281,2222,255,0,0,,,
1273,2179,255,0,0,,,
1268,2135,255,0,0,,,
1265,2091,255,0,0,,,
1263,2047,255,0,0,,,
1265,2003,255,0,0,,,
1268,1959,255,0,0,,,
1273,1915,255,0,0,,,
1281,1872,255,0,0,,,
1290,1829,255,0,0,,,
1302,1787,255,0,0,,,
1316,1745,255,0,0,,,
1332,1705,255,0,0,,,
1350,1665,255,0,0,,,
1369,1626,255,0,0,,,
1391,1588,255,0,0,,,
1414,1552,255,0,0,,,
1440,1517,255,0,0,,,
1466,1484,255,0,0,,,
1495,1452,255,0,0,,,
1525,1421,255,0,0,,,
1556,1393,255,0,0,,,
1589,1366,255,0,0,,,
1623,1341,255,0,0,,,
1659,1318,255,0,0,,,
1695,1297,255,0,0,,,
1732,1278,255,0,0,,,
1771,1261,255,0,0,,,
1810,1246,255,0,0,,,
1849,1234,255,0,0,,,
1890,1223,255,0,0,,,
1930,1215,255,0,0,,,
1971,1210,255,0,0,,,
2013,1206,255,0,0,,,
2054,1205,255,0,0,,,
2095,1206,255,0,0,,,
2137,1210,255,0,0,,,
2178,1215,255,0,0,,,
2218,1223,255,0,0,,,
2258,1234,255,0,0,,,
2298,1246,255,0,0,,,
2337,1261,255,0,0,,,
2375,1278,255,0,0,,,
2413,1297,255,0,0,,,
2449,1318,255,0,0,,,
2484,1341,255,0,0,,,
2518,1366,255,0,0,,,
2551,1393,255,0,0,,,
2583,1421,255,0,0,,,
2613,1452,255,0,0,,,
2641,1484,255,0,0,,,
2668,1517,255,0,0,,,
2693,1552,255,0,0,,,
2717,1588,255,0,0,,,
2738,1626,255,0,0,,,
2758,1665,255,0,0,,,
2776,1705,255,0,0,,,
2792,1745,255,0,0,,,
2806,1787,255,0,0,,,
2817,1829,255,0,0,,,
2827,1872,255,0,0,,,
2835,1915,255,0,0,,,
2840,1959,255,0,0,,,
2843,2003,255,0,0,,,
2844,2047,255,0,0,,,
2813,2085,255,0,0,,,
2781,2122,255,0,0,,,
2750,2160,255,0,0,,,
2719,2197,255,0,0,,,
2687,2234,255,0,0,,,
2656,2272,255,0,0,,,
2624,2309,255,0,0,,,
2593,2347,255,0,0,,,
2561,2384,255,0,0,,,
2530,2422,255,0,0,,,
2498,2459,255,0,0,,,
2467,2497,255,0,0,,,
2436,2534,255,0,0,,,
2404,2572,255,0,0,,,
2373,2609,255,0,0,,,
2341,2647,255,0,0,,,
2310,2684,255,0,0,,,
2278,2722,255,0,0,,,
2247,2759,255,0,0,,,
2216,2797,255,0,0,,,
2184,2834,255,0,0,,,
2153,2872,255,0,0,,,weird Y 
2153,2872,255,0,0,,,|
2153,2872,255,0,0,,,V
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,
2153,2872,255,0,0,,,^
2153,2872,255,0,0,,,|
2153,2872,255,0,0,,,weird Y
2147,2823,255,0,0,,,
2141,2775,255,0,0,,,
2135,2727,255,0,0,,,
2129,2679,255,0,0,,,
2123,2630,255,0,0,,,
2117,2582,255,0,0,,,
2111,2534,255,0,0,,,
2105,2485,255,0,0,,,
2099,2437,255,0,0,,,
2093,2389,255,0,0,,,
2087,2340,255,0,0,,,
2081,2292,255,0,0,,,
2075,2244,255,0,0,,,
2069,2195,255,0,0,,,
2064,2147,255,0,0,,,
2058,2099,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2052,2050,255,0,0,,,
2047,2047,255,0,0,,,
2047,2047,255,0,0,,,
2047,2047,255,0,0,,,
2047,2047,255,0,0,,,
2047,2047,255,0,0,,,
2047,2047,255,0,0,,,
